id,Code,Name,SpecId,Description
1,NULL,Дисконт,1,NULL
2,NULL,Реструктуризация,1,NULL
3,NULL,Должник,2,NULL
4,NULL,Поручитель,2,NULL
5,NULL,Родственник,2,NULL
6,NULL,Третье лицо,2,NULL
284,PP,Ожидание оплаты,3,NULL
303,Z ,Не согласен с долгом,3,NULL
304,K ,Отказ оплаты,3,NULL
308,Q ,Неплатежеспособен,3,NULL
364365,NO,Напоминание об оплате,3,NULL
628153,NK,Не брал кредит,3,NULL
277,AM,Бросил трубку,4,NULL
279,CE,Звонок сорвался по тех,4,NULL
280,LM,Оставлено сообщение,5,NULL
283,NI,Негативная информация,5,NULL
311,R ,Информацию не передадут,5,NULL
196,IC,Звонок вх.,6,NULL
202,PC,Звонок исх. (авт.),6,NULL
210,PM,Звонок исх. (руч),6,NULL
636281,VR,Viber,6,NULL
637200,NULL,Корпоративный,6,NULL
102,EO,E-mail,8,NULL
194,CA,Передача Коллектору,8,NULL
195,SM,СМС,8,NULL
197,PS,Частичный платеж,8,NULL
198,FV,Визит,8,NULL
200,PA,Передача в Агентство,8,NULL
201,OT,Иное (внести прим.),8,NULL
203,MT,Встреча,8,NULL
204,PL,Передача в Суд,8,NULL
205,LS,Письмо,8,NULL
206,IL,Входящее письмо,8,NULL
207,EI,Входящий E-mail,8,NULL
208,SA,Продажа ссуды,8,NULL
209,WO,Списание,8,NULL
211,SL,StopList,8,NULL
212,ST,Актуализация,8,NULL
213,P ,Звонок исх. (FV),8,NULL
214,I ,Звонок вх. (FV),8,NULL
215,V ,Выезд (FV),8,NULL
216,O ,Встреча в офисе (FV),8,NULL
217,IR,Исходящий IVR,8,NULL
218,IM,Исходящий IVM,8,NULL
219,SF,SMS статус,8,NULL
364360,LF,Признак возврата письма,8,NULL
366148,STI,Передача SkipTracing,8,NULL
366149,STO,Вывод из SkipTracing,8,NULL
366150,STC,SkipTracing Call,8,NULL
366171,VL,Валидация,8,NULL
374129,TEC,Технический,8,NULL
635375,MNL,Ручная очередь,8,NULL
635376,ASTI,Automat SkipTracing,8,NULL
635434,SMM,Manual SMS,8,NULL
636043,IVMA,Назначение IVM PTP,8,NULL
636044,IVMAB,Назначение IVM за 2 дня PTP,8,NULL
636045,RF,Принят факс,8,NULL
636046,RK,Принята квитанция,8,NULL
636048,ACC,Актуализация СС,8,NULL
636059,MO,Встреча с другими лицами,8,NULL
636060,PLC,Претендент в Legal,8,NULL
636070,VPZ,Выезд по месту нахождения залога,8,NULL
636080,RE,Залог снят с реестра обременения,8,NULL
636098,IVMAP,Назначение CP_IVM_PRIVAT_APTP,8,NULL
636178,EDG,Рубеж,8,NULL
636189,PhotoMTP,Выезд для фотографирования,8,NULL
636190,BankMTB,Выезд в отделение банка,8,NULL
636228,OtherMeet,Встреча с другими лицами FC,8,NULL
638936,MSIN,Звонок вх._месенджер,8,NULL
638937,MSOUT,Звонок исх.(руч)_месенджер,8,NULL
23,NULL,Действующий,13,NULL
24,NULL,Не действующий,13,NULL
632269,Duplicate,Дублируется,13,NULL
632270,REQUEST,Изъят по просьбе банка,13,NULL
278,AS,В больнице,31,NULL
281,MH,Не хочет перед. сооб.,31,NULL
282,MM,Не может перед. сооб.,31,NULL
285,TB,Телефон занят,31,NULL
286,TV,Автоответчик,31,NULL
287,UP,Не хочет платить,31,NULL
288,WD,Ошибочный номер,31,NULL
289,WU,Не может платить,31,NULL
290,YP,Уже оплачено,31,NULL
291,PI,Звонок информационного характера,31,NULL
292,SL,Претендент в стоп-лист,31,NULL
293,TD,Передан в другой отдел,31,NULL
294,IS,Внесен в Стоп лист,31,NULL
295,NS,Отказано в Cтоп листе,31,NULL
296,OS,Вынесен из Стоп листа,31,NULL
297,1P,Удален номер,31,NULL
298,2P,Изменен номер,31,NULL
299,3P,Добавлен номер,31,NULL
300,4P,Номер верный,31,NULL
301,ST,Проведена работа ST,31,NULL
302,O ,Мошенничество,31,NULL
305,C ,Нет контакта,31,NULL
306,0,Запрос реструктуризации,31,NULL
307,F ,Арестован,31,NULL
309,W ,Розыск,31,NULL
310,Y ,Клиент умер,31,NULL
312,I ,Передадут информацию,31,NULL
313,8,Данные анкеты неверны,31,NULL
314,9,Передать по адресу регистрации,31,NULL
315,J ,Обещание оплаты,31,NULL
316,TA,АОН,31,NULL
317,XX,Гот. верн. залог,31,NULL
318,RP,Претендент на реструк,31,NULL
319,FR,Отказ от реструктуризации,31,NULL
320,1A,Адрес удален,31,NULL
321,3A,Адрес изменен,31,NULL
322,RS,Реструктуризация - думает,31,NULL
323,- ,Розыск имущества,31,NULL
324,+ ,Опись имущества_,31,NULL
325,/ ,Обещал застраховать,31,NULL
326,> ,Отказался страховать,31,NULL
327,< ,Застраховал,31,NULL
328,AX,Отсрочка звонков,31,NULL
329,I1,Обещ.предос.страховку,31,NULL
330,I2,Обещание застраховаться,31,NULL
331,I3,Уже предост.документы,31,NULL
332,I4,Вызов Страх. Агента,31,NULL
333,I5,Отказ страховаться,31,NULL
334,I6,Перезвонить позднее,31,NULL
335,IA,Номер не отвечает,31,NULL
336,LA,Письмо назначено,31,NULL
337,LS,Письмо отправлено,31,NULL
338,LF,Письмо не доставлено,31,NULL
339,SA,СМС назначено,31,NULL
340,SS,СМС отправлено,31,NULL
341,SF,СМС не доставлено,31,NULL
342,4A,Изменены пасп. данные,31,NULL
343,LY,Согласен на LFO,31,NULL
344,LN,Отказ от LFO,31,NULL
345,_ ,Статус PTP,31,NULL
346,B ,Подтверждение выезда,31,NULL
347,A ,Розыск  имущества,31,NULL
348,N ,Опись имущества,31,NULL
349,SD,СМС доставлено,31,NULL
350,FZ,Фото залога,31,NULL
364361,AA,Абонент недоступен,31,NULL
364362,NN,Номер недействителен,31,NULL
364363,ZD,Звонок другому ТС,31,NULL
364364,NA,Нет ответа,31,NULL
364366,TF,Факс,31,NULL
364367,DU,Думает,31,NULL
364368,MP,PTP выполнен,31,NULL
366167,SLR,StopList Удаление,31,NULL
366168,PSLR,StopList претендент Удаление,31,NULL
366169,PSLI,StopList претендент,31,NULL
366170,SLI,StopList,31,NULL
366182,* ,Думает (FV)                                                     ,31,NULL
366183,\ ,Напоминание об оплате (FV)                                      ,31,NULL
366184,NE,Обычный конверт                                                 ,31,NULL
366185,WE,Белый конверт                                                   ,31,NULL
403871,FIXOP,Закрепление за оператором,31,NULL
628175,SNC,Застраховался в неаккред. компании,31,NULL
636028,ERA,Адрес ошибочный,31,NULL
636029,ADA,Адрес добавлен,31,NULL
636030,FD,Предприятие ликвидировано,31,NULL